name,surname,role,link
Massimo,Botta,Head of the program,https://ch.linkedin.com/in/massimo-botta-48030237
Serena,Cangiano,Coordinator of the program,https://ch.linkedin.com/in/serena-cangiano-73a1898
Marco,Lurati,Assistant,https://ch.linkedin.com/in/marco-lurati-39374295
Giovanni,Profeta,Assistant,https://ch.linkedin.com/in/giovanniprofeta/it
